factor_name,source,source_family,source_citations,definition,economic_rationale,required_fields,economic_family,economic_subfamily,secondary_family,pit_implications,evidence_tier,implementation_status,compute_adapter,candidate_decision,decision_reason
mature_asset_growth_yoy,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,total_assets/prior_year_total_assets-1,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",GrowthInvestment,AssetGrowth,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_revenue_growth_yoy,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,revenue/prior_year_revenue-1,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",GrowthInvestment,RevenueGrowth,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_net_income_growth_yoy,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,signed_yoy_growth(n_income_attr_p),Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",GrowthInvestment,EarningsGrowth,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_cashflow_to_sales,academic_and_industry_mature,MaturePublic,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598,n_cashflow_act/revenue,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",CashFlow,CashConversion,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_gross_margin,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w15940;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,(revenue-oper_cost)/revenue,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Profitability,GrossMargin,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_net_margin,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,n_income_attr_p/revenue,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Profitability,NetMargin,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_book_to_market_pit,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458;https://doi.org/10.1016/j.pacfin.2021.101607,PIT_book_equity/market_cap_cny,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Value,BookToMarketPIT,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_earnings_to_price_pit,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458,PIT_net_income/market_cap_cny,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Value,EarningsYieldPIT,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_sales_to_price_pit,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,PIT_revenue/market_cap_cny,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Value,SalesToPricePIT,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_cashflow_to_price_pit,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598,PIT_operating_cashflow/market_cap_cny,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Value,CashflowToPricePIT,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
alpha191_family,Alpha191,Alpha191,public_formula_lists_multiple_unverified_origins,191 formulaic price-volume alphas,Broad formula library but overlaps the existing 669 technical core.,OHLCVA,Multi,FormulaLibrary,,same_day_after_close,C,rejected_v2_batch,,reject,provenance_license_unclear_and_high_overlap_with_existing_technical_core
joinquant_ricequant_factor_libraries,JoinQuant/RiceQuant,MaturePlatforms,https://www.joinquant.com/view/factorlib/list,public platform factor taxonomies,Useful taxonomy and cross-check source.,platform_specific,Multi,PlatformLibrary,,definition_specific,B,taxonomy_only,,reject,no_portable_formula_or_license_proven_for_direct_code_adaptation
industry_relative_signals,MSCI_Barra_and_SW,BarraStyle,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,industry-relative residualized characteristics,Controls structural industry composition.,historically_vintaged_industry_membership,MarketIndustry,IndustryRelative,,requires_membership_database_vintage,A,research_pending,,defer,effective_intervals_do_not_prove_historical_database_vintage
forecast_express_surprise,Tushare,AshareEvents,https://tushare.pro/document/2?doc_id=45;https://tushare.pro/document/2?doc_id=46,announcement surprise relative to prior expectation,Forward-looking earnings news.,"forecast,express,consensus_or_prior_guidance",GrowthInvestment,EarningsSurprise,,announcement_timestamp_and_baseline_required,B,research_pending,,defer,probe_accessible_but_history_baseline_and_sparse_coverage_not_proven
margin_northbound_block_toplist_events,Tushare,AshareEvents,https://tushare.pro/document/2?doc_id=58;https://tushare.pro/document/2?doc_id=188,"margin, northbound, block-trade and abnormal-list signals",China-specific investor and event behavior.,multiple_sparse_event_APIs,TradingBehavior,SparseEvents,,dataset_specific_next_day_or_after_close,B,research_pending,,defer,heterogeneous_history_and_sparse_coverage_need_separate_batch
price_limit_st_suspension_alpha,Tushare_and_existing_tradability,AshareMarketStructure,https://tushare.pro/document/2?doc_id=183,limit/ST/suspension state transformed into alpha,Important A-share market structure.,"stk_limit,ST,vintaged_suspension",MarketIndustry,TradabilityState,,known_before_open_or_event_timestamp,B,rejected_as_factor,,reject,retain_as_tradability_and_risk_controls_not_alpha_features
