factor,source,active,original_family,proposed_family,mechanism,horizon,formula_units,definition,review_status,reason,representative_eligible,source_reference,semantic_resolved,replacement_hold_reason
alpha158_VMA5,alpha158,False,Liquidity,LiquidityTrading,alpha158_vma,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($volume, 5)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VMA60,alpha158,False,Liquidity,LiquidityTrading,alpha158_vma,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($volume, 60)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSTD10,alpha158,False,Liquidity,LiquidityTrading,alpha158_vstd,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std($volume, 10)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSTD20,alpha158,False,Liquidity,LiquidityTrading,alpha158_vstd,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std($volume, 20)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSTD30,alpha158,False,Liquidity,LiquidityTrading,alpha158_vstd,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std($volume, 30)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSTD5,alpha158,False,Liquidity,LiquidityTrading,alpha158_vstd,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std($volume, 5)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSTD60,alpha158,False,Liquidity,LiquidityTrading,alpha158_vstd,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std($volume, 60)/($volume+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMD10,alpha158,False,Liquidity,LiquidityTrading,alpha158_vsumd,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Ref($volume, 1)-$volume, 0), 10))/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMD20,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsumd,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Ref($volume, 1)-$volume, 0), 20))/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMD30,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsumd,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMD5,alpha158,False,Liquidity,LiquidityTrading,alpha158_vsumd,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref($volume, 1)-$volume, 0), 5))/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMD60,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsumd,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMN10,alpha158,False,Liquidity,LiquidityTrading,alpha158_vsumn,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMN20,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsumn,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMN30,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsumn,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMN5,alpha158,False,Liquidity,LiquidityTrading,alpha158_vsumn,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMN60,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsumn,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMP10,alpha158,False,Liquidity,LiquidityTrading,alpha158_vsump,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMP20,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsump,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMP30,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsump,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMP5,alpha158,False,Liquidity,LiquidityTrading,alpha158_vsump,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VSUMP60,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsump,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_VWAP0,alpha158,False,Liquidity,LiquidityTrading,alpha158_vwap,window_0,ratio_or_normalized_statistic,Qlib Alpha158 expression: $vwap/$close,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_WVMA10,alpha158,False,Liquidity,LiquidityTrading,alpha158_wvma,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 10)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 10)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_WVMA20,alpha158,False,Liquidity,LiquidityTrading,alpha158_wvma,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 20)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_WVMA30,alpha158,False,Liquidity,LiquidityTrading,alpha158_wvma,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 30)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_WVMA5,alpha158,False,Liquidity,LiquidityTrading,alpha158_wvma,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 5)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 5)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_WVMA60,alpha158,False,Liquidity,LiquidityTrading,alpha158_wvma,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 60)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 60)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE1,alpha360,False,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_1,ratio,"Qlib Alpha360 expression: Ref($close, 1)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE10,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_10,ratio,"Qlib Alpha360 expression: Ref($close, 10)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE11,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_11,ratio,"Qlib Alpha360 expression: Ref($close, 11)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE12,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_12,ratio,"Qlib Alpha360 expression: Ref($close, 12)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE13,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_13,ratio,"Qlib Alpha360 expression: Ref($close, 13)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE14,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_14,ratio,"Qlib Alpha360 expression: Ref($close, 14)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE15,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_15,ratio,"Qlib Alpha360 expression: Ref($close, 15)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE16,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_16,ratio,"Qlib Alpha360 expression: Ref($close, 16)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE17,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_17,ratio,"Qlib Alpha360 expression: Ref($close, 17)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE18,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_18,ratio,"Qlib Alpha360 expression: Ref($close, 18)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE19,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_19,ratio,"Qlib Alpha360 expression: Ref($close, 19)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE2,alpha360,False,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_2,ratio,"Qlib Alpha360 expression: Ref($close, 2)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE20,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_20,ratio,"Qlib Alpha360 expression: Ref($close, 20)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE21,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_21,ratio,"Qlib Alpha360 expression: Ref($close, 21)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE22,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_22,ratio,"Qlib Alpha360 expression: Ref($close, 22)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE23,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_23,ratio,"Qlib Alpha360 expression: Ref($close, 23)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE24,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_24,ratio,"Qlib Alpha360 expression: Ref($close, 24)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE25,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_25,ratio,"Qlib Alpha360 expression: Ref($close, 25)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE26,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_26,ratio,"Qlib Alpha360 expression: Ref($close, 26)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE27,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_27,ratio,"Qlib Alpha360 expression: Ref($close, 27)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE28,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_28,ratio,"Qlib Alpha360 expression: Ref($close, 28)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE29,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_29,ratio,"Qlib Alpha360 expression: Ref($close, 29)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE3,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_3,ratio,"Qlib Alpha360 expression: Ref($close, 3)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE30,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_30,ratio,"Qlib Alpha360 expression: Ref($close, 30)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE31,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_31,ratio,"Qlib Alpha360 expression: Ref($close, 31)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE32,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_32,ratio,"Qlib Alpha360 expression: Ref($close, 32)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE33,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_33,ratio,"Qlib Alpha360 expression: Ref($close, 33)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE34,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_34,ratio,"Qlib Alpha360 expression: Ref($close, 34)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE35,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_35,ratio,"Qlib Alpha360 expression: Ref($close, 35)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE36,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_36,ratio,"Qlib Alpha360 expression: Ref($close, 36)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE37,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_37,ratio,"Qlib Alpha360 expression: Ref($close, 37)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE38,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_38,ratio,"Qlib Alpha360 expression: Ref($close, 38)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE39,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_39,ratio,"Qlib Alpha360 expression: Ref($close, 39)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE4,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_4,ratio,"Qlib Alpha360 expression: Ref($close, 4)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE40,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_40,ratio,"Qlib Alpha360 expression: Ref($close, 40)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE41,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_41,ratio,"Qlib Alpha360 expression: Ref($close, 41)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE42,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_42,ratio,"Qlib Alpha360 expression: Ref($close, 42)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE43,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_43,ratio,"Qlib Alpha360 expression: Ref($close, 43)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE44,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_44,ratio,"Qlib Alpha360 expression: Ref($close, 44)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE45,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_45,ratio,"Qlib Alpha360 expression: Ref($close, 45)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE46,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_46,ratio,"Qlib Alpha360 expression: Ref($close, 46)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE47,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_47,ratio,"Qlib Alpha360 expression: Ref($close, 47)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE48,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_48,ratio,"Qlib Alpha360 expression: Ref($close, 48)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE49,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_49,ratio,"Qlib Alpha360 expression: Ref($close, 49)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE5,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_5,ratio,"Qlib Alpha360 expression: Ref($close, 5)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE50,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_50,ratio,"Qlib Alpha360 expression: Ref($close, 50)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE51,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_51,ratio,"Qlib Alpha360 expression: Ref($close, 51)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE52,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_52,ratio,"Qlib Alpha360 expression: Ref($close, 52)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE53,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_53,ratio,"Qlib Alpha360 expression: Ref($close, 53)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE54,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_54,ratio,"Qlib Alpha360 expression: Ref($close, 54)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE55,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_55,ratio,"Qlib Alpha360 expression: Ref($close, 55)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE56,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_56,ratio,"Qlib Alpha360 expression: Ref($close, 56)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE57,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_57,ratio,"Qlib Alpha360 expression: Ref($close, 57)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha360_CLOSE58,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_58,ratio,"Qlib Alpha360 expression: Ref($close, 58)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,
